Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
279.0,0.1,1.32621e-05,0.0,-32.112,0.000688557,0.0,-178.89,1.12057e-05,-7.06318e-06,-0.000688557,-1.33515e-05,15.0,2005.0
279.0,0.1,2.18154e-05,0.0,-19.722,0.000755552,0.0,-178.986,2.05339e-05,-7.39101e-06,-0.000755552,-1.33515e-05,15.0,2005.0
288.0,0.1,2.62858e-05,0.0,-14.598,0.000883345,0.0,-179.136,2.54513e-05,-6.64595e-06,-0.000883345,-1.33515e-05,15.0,2005.0
288.0,0.1,4.16937e-05,0.0,-9.894,0.00105477,0.0,-179.268,4.10678e-05,-7.18239e-06,-0.00105477,-1.35899e-05,15.0,2005.0
288.0,0.1,5.12602e-05,0.0,-8.43,0.00112129,0.0,-179.316,5.0694e-05,-7.54002e-06,-0.00112153,-1.33515e-05,15.0,2005.0
297.0,0.1,5.48961e-05,0.0,-7.464,0.00123454,0.0,-179.364,5.44193e-05,-7.15259e-06,-0.00123478,-1.38283e-05,15.0,2005.0
297.0,0.1,6.24959e-05,0.0,-6.57,0.00138188,0.0,-179.442,6.20787e-05,-7.15259e-06,-0.00138212,-1.35899e-05,15.0,2005.0
297.0,0.1,6.75027e-05,0.0,-6.918,0.0014391,0.0,-179.472,6.70259e-05,-8.13609e-06,-0.00143934,-1.33515e-05,15.0,2005.0
306.0,0.1,6.84266e-05,0.0,-6.852,0.00152565,0.0,-179.484,6.79498e-05,-8.1957e-06,-0.00152589,-1.40668e-05,15.0,2005.0
306.0,0.1,6.10356e-05,0.0,-7.512,0.00163413,0.0,-179.514,6.05287e-05,-7.98708e-06,-0.00163437,-1.40668e-05,15.0,2005.0
306.0,0.1,5.5969e-05,0.0,-8.352,0.00167585,0.0,-179.532,5.53729e-05,-8.13609e-06,-0.00167609,-1.38283e-05,15.0,2005.0
315.0,0.1,5.24225e-05,0.0,-8.7,0.0017202,0.0,-179.544,5.18265e-05,-7.95728e-06,-0.00172044,-1.38283e-05,15.0,2005.0
315.0,0.1,2.44082e-05,0.0,-17.382,0.0017686,0.0,-179.55,2.33055e-05,-7.3016e-06,-0.00176883,-1.38283e-05,15.0,2005.0
315.0,0.1,8.61293e-06,0.0,-53.238,0.00178695,0.0,-179.562,5.15583e-06,-6.94397e-06,-0.00178719,-1.38283e-05,15.0,2005.0
324.0,0.1,9.74542e-06,0.0,-127.026,0.00177837,0.0,-179.556,-5.90089e-06,-7.80827e-06,-0.00177861,-1.40668e-05,15.0,2005.0
324.0,0.1,5.26609e-05,0.0,-171.504,0.00175286,0.0,-179.55,-5.21245e-05,-7.80827e-06,-0.0017531,-1.40668e-05,15.0,2005.0
324.0,0.1,8.15396e-05,0.0,-174.594,0.00174237,0.0,-179.544,-8.1182e-05,-7.68906e-06,-0.00174261,-1.38283e-05,15.0,2005.0
333.0,0.1,9.69176e-05,0.0,-175.344,0.001678,0.0,-179.532,-9.66196e-05,-7.86787e-06,-0.00167824,-1.38283e-05,15.0,2005.0
333.0,0.1,0.000146569,0.0,-177.006,0.00157834,0.0,-179.496,-0.00014639,-7.65926e-06,-0.00157858,-1.40668e-05,15.0,2005.0
333.0,0.1,0.000177682,0.0,-177.69,0.00153971,0.0,-179.49,-0.000177563,-7.18239e-06,-0.00153995,-1.38283e-05,15.0,2005.0
342.0,0.1,0.000193448,0.0,-177.924,0.00142837,0.0,-179.448,-0.000193358,-7.00357e-06,-0.00142861,-1.38283e-05,15.0,2005.0
342.0,0.1,0.000233115,0.0,-178.374,0.00126816,0.0,-179.376,-0.000233055,-6.64595e-06,-0.00126839,-1.38283e-05,15.0,2005.0
342.0,0.1,0.000257077,0.0,-178.428,0.00120521,0.0,-179.34,-0.000256987,-7.09298e-06,-0.00120545,-1.40668e-05,15.0,2005.0
351.0,0.1,0.000267865,0.0,-178.572,0.00106407,0.0,-179.262,-0.000267806,-6.70555e-06,-0.00106407,-1.38283e-05,15.0,2005.0
351.0,0.1,0.000284763,0.0,-178.74,0.000869039,0.0,-179.112,-0.000284703,-6.28832e-06,-0.000869039,-1.35899e-05,15.0,2005.0
351.0,0.1,0.00029421,0.0,-178.794,0.000792746,0.0,-179.022,-0.000294151,-6.19891e-06,-0.000792984,-1.35899e-05,15.0,2005.0
360.0,0.1,0.00029731,0.0,-178.818,0.000643257,0.0,-178.83,-0.00029728,-6.13931e-06,-0.000643495,-1.33515e-05,15.0,2005.0
360.0,0.1,0.000289382,0.0,-178.932,0.000440599,0.0,-178.29,-0.000289353,-5.42405e-06,-0.000440599,-1.33515e-05,15.0,2005.0
360.0,0.1,0.000284554,0.0,-178.866,0.000361921,0.0,-177.942,-0.000284525,-5.63267e-06,-0.000361921,-1.31131e-05,15.0,2005.0
0.0,0.2,0.000166834,0.0,-178.122,0.000391247,0.0,-178.122,-0.000166775,-5.48366e-06,-0.000391247,-1.28747e-05,15.0,2005.0
0.0,0.2,0.000166954,0.0,-178.056,0.000391008,0.0,-178.098,-0.000166894,-5.69227e-06,-0.000391008,-1.31131e-05,15.0,2005.0
0.0,0.2,0.000166566,0.0,-178.038,0.000391247,0.0,-178.074,-0.000166507,-5.72208e-06,-0.000391247,-1.33515e-05,15.0,2005.0
9.0,0.2,0.000166179,0.0,-177.948,0.000278475,0.0,-177.288,-0.000166119,-5.96049e-06,-0.000278236,-1.33515e-05,15.0,2005.0
9.0,0.2,0.000160784,0.0,-177.756,9.96594e-05,0.0,-172.506,-0.000160695,-6.31812e-06,-9.89442e-05,-1.31131e-05,15.0,2005.0
9.0,0.2,0.000157089,0.0,-177.516,3.14715e-05,0.0,-155.604,-0.00015697,-6.82476e-06,-2.88488e-05,-1.31131e-05,15.0,2005.0
18.0,0.2,0.000153304,0.0,-177.474,9.13148e-05,0.0,-8.058,-0.000153185,-6.79496e-06,9.05995e-05,-1.28747e-05,15.0,2005.0
18.0,0.2,0.000130267,0.0,-176.466,0.00024605,0.0,-2.952,-0.000130028,-8.04669e-06,0.000245811,-1.28747e-05,15.0,2005.0
18.0,0.2,0.000114799,0.0,-175.716,0.000306608,0.0,-2.4,-0.000114531,-8.58313e-06,0.000306131,-1.28747e-05,15.0,2005.0
27.0,0.2,0.000106693,0.0,-175.542,0.000396492,0.0,-1.854,-0.000106395,-8.31491e-06,0.000396254,-1.28747e-05,15.0,2005.0
27.0,0.2,8.36258e-05,0.0,-174.456,0.000509743,0.0,-1.422,-8.32682e-05,-8.10629e-06,0.000509504,-1.28747e-05,15.0,2005.0
27.0,0.2,6.90524e-05,0.0,-173.778,0.000553612,0.0,-1.314,-6.8665e-05,-7.51021e-06,0.000553373,-1.26362e-05,15.0,2005.0
36.0,0.2,6.1125e-05,0.0,-171.948,0.000608448,0.0,-1.176,-6.05586e-05,-8.58313e-06,0.000608448,-1.28747e-05,15.0,2005.0
36.0,0.2,4.09784e-05,0.0,-168.456,0.000673059,0.0,-1.062,-4.01738e-05,-8.2255e-06,0.000672821,-1.26362e-05,15.0,2005.0
36.0,0.2,2.8819e-05,0.0,-163.962,0.000698093,0.0,-1.026,-2.77163e-05,-7.98708e-06,0.000697855,-1.26362e-05,15.0,2005.0
45.0,0.2,2.34247e-05,0.0,-159.402,0.000714544,0.0,-0.99,-2.19644e-05,-8.2553e-06,0.000714306,-1.23978e-05,15.0,2005.0
45.0,0.2,8.79174e-06,0.0,-119.478,0.00072718,0.0,-0.972,-4.35117e-06,-7.68906e-06,0.000726942,-1.23978e-05,15.0,2005.0
45.0,0.2,1.00136e-05,0.0,-49.524,0.00073171,0.0,-0.966,6.49694e-06,-7.62945e-06,0.000731472,-1.23978e-05,15.0,2005.0
54.0,0.2,1.4037e-05,0.0,-33.726,0.000710253,0.0,-1.008,1.16826e-05,-7.80827e-06,0.000710014,-1.26362e-05,15.0,2005.0
54.0,0.2,2.55407e-05,0.0,-18.792,0.000672583,0.0,-1.062,2.41698e-05,-8.2553e-06,0.000672344,-1.26362e-05,15.0,2005.0
54.0,0.2,3.30808e-05,0.0,-14.682,0.000657562,0.0,-1.092,3.19781e-05,-8.40431e-06,0.000657562,-1.26362e-05,15.0,2005.0
63.0,0.2,3.67465e-05,0.0,-12.888,0.000601057,0.0,-1.176,3.58226e-05,-8.2255e-06,0.000600819,-1.23978e-05,15.0,2005.0
63.0,0.2,4.24685e-05,0.0,-11.202,0.000517134,0.0,-1.386,4.16639e-05,-8.2553e-06,0.000517134,-1.26362e-05,15.0,2005.0
63.0,0.2,4.58958e-05,0.0,-10.566,0.000484468,0.0,-1.494,4.50911e-05,-8.43412e-06,0.000484468,-1.28747e-05,15.0,2005.0
72.0,0.2,4.73263e-05,0.0,-9.774,0.000396969,0.0,-1.83,4.66409e-05,-8.04669e-06,0.00039673,-1.26362e-05,15.0,2005.0
72.0,0.2,4.19321e-05,0.0,-11.34,0.00027323,0.0,-2.658,4.11274e-05,-8.2553e-06,0.000272753,-1.28747e-05,15.0,2005.0
72.0,0.2,3.77896e-05,0.0,-13.302,0.000224591,0.0,-3.228,3.67763e-05,-8.70234e-06,0.000224353,-1.28747e-05,15.0,2005.0
81.0,0.2,3.5614e-05,0.0,-13.5,0.000115157,0.0,-6.312,3.46305e-05,-8.34471e-06,0.000114441,-1.28747e-05,15.0,2005.0
81.0,0.2,2.86401e-05,0.0,-15.936,4.0293e-05,0.0,-161.268,2.75375e-05,-7.86787e-06,-3.83856e-05,-1.31131e-05,15.0,2005.0
81.0,0.2,2.43486e-05,0.0,-16.698,9.87058e-05,0.0,-172.44,2.33055e-05,-7.00357e-06,-9.82289e-05,-1.31131e-05,15.0,2005.0
90.0,0.2,2.13088e-05,0.0,-18.276,0.000225306,0.0,-176.778,2.02061e-05,-6.70555e-06,-0.000225068,-1.28747e-05,15.0,2005.0
90.0,0.2,1.52589e-05,0.0,-25.896,0.000398876,0.0,-178.134,1.37091e-05,-6.67575e-06,-0.000398876,-1.31131e-05,15.0,2005.0
90.0,0.2,1.1623e-05,0.0,-36.786,0.000466349,0.0,-178.404,9.29838e-06,-6.97377e-06,-0.000466349,-1.31131e-05,15.0,2005.0
99.0,0.2,8.64273e-06,0.0,-47.34,0.000598673,0.0,-178.722,5.84128e-06,-6.37773e-06,-0.000598673,-1.33515e-05,15.0,2005.0
99.0,0.2,1.06097e-05,0.0,-140.148,0.000776056,0.0,-179.004,-8.1957e-06,-6.82476e-06,-0.000776295,-1.33515e-05,15.0,2005.0
99.0,0.2,1.82093e-05,0.0,-155.988,0.000845198,0.0,-179.094,-1.66596e-05,-7.42081e-06,-0.000845198,-1.33515e-05,15.0,2005.0
108.0,0.2,2.28287e-05,0.0,-163.218,0.000972036,0.0,-179.202,-2.19048e-05,-6.61614e-06,-0.000972275,-1.35899e-05,15.0,2005.0
108.0,0.2,3.40345e-05,0.0,-168.48,0.00114036,0.0,-179.322,-3.33788e-05,-6.82476e-06,-0.0011406,-1.35899e-05,15.0,2005.0
108.0,0.2,4.0591e-05,0.0,-170.142,0.00120617,0.0,-179.358,-4.00248e-05,-6.97377e-06,-0.00120641,-1.35899e-05,15.0,2005.0
117.0,0.2,4.35116e-05,0.0,-170.766,0.00131322,0.0,-179.418,-4.29752e-05,-7.00357e-06,-0.00131346,-1.33515e-05,15.0,2005.0
117.0,0.2,4.73859e-05,0.0,-171.264,0.0014515,0.0,-179.472,-4.68793e-05,-7.21219e-06,-0.00145174,-1.33515e-05,15.0,2005.0
117.0,0.2,4.97105e-05,0.0,-171.594,0.00150538,0.0,-179.478,-4.92039e-05,-7.2718e-06,-0.00150562,-1.38283e-05,15.0,2005.0
126.0,0.2,5.01277e-05,0.0,-172.11,0.00158191,0.0,-179.508,-4.96807e-05,-6.88437e-06,-0.00158215,-1.38283e-05,15.0,2005.0
126.0,0.2,4.43461e-05,0.0,-170.262,0.00167657,0.0,-179.532,-4.37202e-05,-7.51021e-06,-0.00167681,-1.38283e-05,15.0,2005.0
126.0,0.2,4.0591e-05,0.0,-168.78,0.00171328,0.0,-179.544,-3.98459e-05,-7.92748e-06,-0.00171352,-1.38283e-05,15.0,2005.0
135.0,0.2,3.68657e-05,0.0,-169.17,0.00174714,0.0,-179.55,-3.62399e-05,-6.94397e-06,-0.00174738,-1.38283e-05,15.0,2005.0
135.0,0.2,2.10406e-05,0.0,-160.86,0.00178171,0.0,-179.562,-1.99081e-05,-6.91417e-06,-0.00178195,-1.38283e-05,15.0,2005.0
